country,state,county,type,measure,beds,population,year
US,NY,rensselaer,ICU,2000HAB,0.150188,159800,2019
US,NY,rensselaer,OTHER,2000HAB,0.187734,159800,2018
US,NY,richmond,ACUTE,2000HAB,4.882886,475948,2018
US,NY,richmond,ICU,2000HAB,0.479044,475948,2019
US,NY,richmond,PSYCHIATRIC,2000HAB,0.105054,475948,2018
US,NY,rockland,ACUTE,2000HAB,4.067352,325027,2018
US,NY,rockland,ICU,2000HAB,0.23998,325027,2019
US,NY,rockland,OTHER,2000HAB,3.125894,325027,2018
US,NY,saratoga,ACUTE,2000HAB,1.509054,226632,2018
US,NY,saratoga,ICU,2000HAB,0.167672,226632,2019
US,NY,saratoga,PSYCHIATRIC,2000HAB,0.776592,226632,2018
US,NY,schenectady,ACUTE,2000HAB,4.741076,155239,2018
US,NY,schenectady,ICU,2000HAB,0.4638,155239,2019
US,NY,schenectady,OTHER,2000HAB,2.190172,155239,2018
US,NY,schoharie,ACUTE,2000HAB,2.530764,31611,2018
US,NY,schoharie,ICU,2000HAB,0.0,31611,2019
US,NY,schuyler,ICU,2000HAB,2.7606,18112,2018
US,NY,seneca,ICU,2000HAB,0.0,34843,2019
US,NY,st. lawrence,ACUTE,2000HAB,4.94509,110817,2018
US,NY,st. lawrence,ICU,2000HAB,0.81215,110817,2018
US,NY,steuben,ACUTE,2000HAB,4.387988,97539,2018
US,NY,steuben,ICU,2000HAB,0.164036,97539,2019
US,NY,suffolk,ACUTE,2000HAB,4.309576,1497595,2018
US,NY,suffolk,ICU,2000HAB,0.375268,1497595,2019
US,NY,suffolk,PSYCHIATRIC,2000HAB,0.475428,1497595,2018
US,NY,sullivan,ACUTE,2000HAB,4.064236,75783,2018
US,NY,sullivan,ICU,2000HAB,0.395868,75783,2018
US,NY,tioga,ICU,2000HAB,0.0,49322,2019
US,NY,tompkins,ACUTE,2000HAB,4.06072,104415,2018
US,NY,tompkins,ICU,2000HAB,0.306472,104415,2019
US,NY,ulster,ACUTE,2000HAB,3.330946,180129,2018
US,NY,ulster,ICU,2000HAB,0.277578,180129,2019
US,NY,warren,ACUTE,2000HAB,12.673684,64701,2018
US,NY,warren,ICU,2000HAB,0.741876,64701,2019
US,NY,washington,ICU,2000HAB,0.0,62183,2019
US,NY,wayne,ACUTE,2000HAB,2.624614,91442,2018
US,NY,wayne,ICU,2000HAB,0.174974,91442,2019
US,NY,westchester,ACUTE,2000HAB,4.658978,975321,2018
US,NY,westchester,ICU,2000HAB,0.367056,975321,2019
US,NY,westchester,OTHER,2000HAB,0.483944,975321,2018
US,NY,westchester,PSYCHIATRIC,2000HAB,1.490792,975321,2018
US,NY,wyoming,ACUTE,2000HAB,3.032822,40886,2018
US,NY,wyoming,ICU,2000HAB,0.244582,40886,2019
US,NY,yates,ICU,2000HAB,1.993382,25083,2018
